month_year,number
Jan-14,2171 
Feb-14,5506 
Mar-14,3285 
Apr-14,15682 
May-14,14599 
Jun-14,22641 
Jul-14,24031 
Aug-14,24774 
Sep-14,26107 
Oct-14,15279 
Nov-14,9293 
Dec-14,6732 
Jan-15,2171 
Feb-15,5506 
Mar-15,3285 
Apr-15,15682 
May-15,14599 
Jun-15,22641 
Jul-15,24031 
Aug-15,24774 
Sep-15,26107 
Oct-15,15279 
Nov-15,9293 
Dec-15,6732 
Jan-16,5273 
Feb-16,3828 
Mar-16,9676 
Apr-16,9149 
May-16,19925 
Jun-16,22371 
Jul-16,23552 
Aug-16,21294 
Sep-16,16975 
Oct-16,27384 
Nov-16,13962 
Dec-16,8047 
Jan-17,4468 
Feb-17,8971 
Mar-17,10853 
Apr-17,12934 
May-17,22993 
Jun-17,23526 
Jul-17,11461 
Aug-17,3920 
Sep-17,6282 
Oct-17,5984 
Nov-17,5641 
Dec-17,2268 
Jan-18,4182 
Feb-18,1065 
Mar-18,1049 
Apr-18,3171 
May-18,3963 
Jun-18,3147 
Jul-18,1969 
Aug-18,1531 
Sep-18,947 
Oct-18,1007 
Nov-18,980 
Dec-18,359 
Jan-19,202 
Feb-19,60 
Mar-19,262 
Apr-19,255 
May-19,782 
Jun-19,1218 
Jul-19,1088 
Aug-19,1268 
Sep-19,2498 
Oct-19,2017 
Nov-19,1232 
Dec-19,589 
Jan-20,1342 
Feb-20,1211 
Mar-20,241 
Apr-20,671 
May-20,1654 
Jun-20,1831 
Jul-20,7063 
Aug-20,5327 
Sep-20,4386 
Oct-20,3477 
Nov-20,5360 
Dec-20,1591 