month,deaths_miss,,,,,,,,
Oct-13,636,,,,,,,,
Nov-13,na/0,,,,,,,,
Dec-13,na/0,,,,,,,,
Jan-14,na/0,,,,,,,,
Feb-14,9,,,,,,,,
Mar-14,1,,,,,,,,
Apr-14,42,,,,,,,,
May-14,226,,,,,,,,
Jun-14,305,,,,,,,,
Jul-14,824,,,,,,,,
Aug-14,711,,,,,,,,
Sep-14,862,,,,,,,,
Oct-14,154,,,,,,,,
Nov-14,14,,,,,,,,
Dec-14,95,,,,,,,,
Jan-15,67,,,,,,,,
Feb-15,332,,,,,,,,
Mar-15,50,,,,,,,,
Apr-15,1240,,,,,,,,
May-15,91,,,,,,,,
Jun-15,17,,,,,,,,
Jul-15,206,,,,,,,,
Aug-15,657,,,,,,,,
Sep-15,76,,,,,,,,
Oct-15,170,,,,,,,,
Nov-15,4,,,,,,,,
Dec-15,1,,,,,,,,
Jan-16,87,,,,,,,,
Feb-16,7,,,,,,,,
Mar-16,237,,,,,,,,
Apr-16,639,,,,,,,,
May-16,1127,,,,,,,,
Jun-16,40,,,,,,,,
Jul-16,216,,,,,,,,
Aug-16,42,,,,,,,,
Sep-16,336,,,,,,,,
Oct-16,437,,,,,,,,
Nov-16,703,,,,,,,,
Dec-16,363,,,,,,,,
Jan-17,225,,,,,,,,
Feb-17,217,,,,,,,,
Mar-17,368,,,,,,,,
Apr-17,277,,,,,,,,
May-17,715,,,,,,,,
Jun-17,412,,,,,,,,
Jul-17,62,,,,,,,,
Aug-17,138,,,,,,,,
Sep-17,101,,,,,,,,
Oct-17,153,,,,,,,,
Nov-17,205,,,,,,,,
Dec-17,1,,,,,,,,
Jan-18,203,,,,,,,,
Feb-18,121,,,,,,,,
Mar-18,23,,,,,,,,
Apr-18,20,,,,,,,,
May-18,8,,,,,,,,
Jun-18,564,,,,,,,,
Jul-18,157,,,,,,,,
Aug-18,20,,,,,,,,
Sep-18,130,,,,,,,,
Oct-18,7,,,,,,,,
Nov-18,11,,,,,,,,
Dec-18,15,,,,,,,,
Jan-19,146,,,,,,,,
Feb-19,5,,,,,,,,
Mar-19,56,,,,,,,,
Apr-19,51,,,,,,,,
May-19,64,,,,,,,,
Jun-19,22,,,,,,,,
Jul-19,242,,,,,,,,
Aug-19,68,,,,,,,,
Sep-19,17,,,,,,,,
Oct-19,34,,,,,,,,
Nov-19,49,,,,,,,,
Dec-19,na/0,,,,,,,,
Jan-20,6,,,,,,,,
Feb-20,110,,,,,,,,
Mar-20,21,,,,,,,,
Apr-20,13,,,,,,,,
May-20,11,,,,,,,,
Jun-20,87,,,,,,,,
Jul-20,59,,,,,,,,
Aug-20,120,,,,,,,,
Sep-20,79,,,,,,,,
Oct-20,110,,,,,,,,
Nov-20,139,,,,,,,,
Dec-20,80,,,,,,,,